YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 03 11 125  4.7  5.9  2.90 14.29  8.64 999 1013.0  24.7  25.3 999.0 99.0
98 01 03 12 133  5.1  6.6  2.89 14.29  8.38 999 1012.7  24.4  25.3 999.0 99.0
98 01 03 13 144  5.4  7.1  2.57 14.29  8.01 999 1012.3  24.4  25.3 999.0 99.0
98 01 03 14 136  5.1  6.3  2.89 14.29  8.82 999 1012.1  24.4  25.3 999.0 99.0
98 01 03 15 147  4.2  5.7  2.86 12.50  8.41 999 1012.2  24.1  25.3 999.0 99.0
98 01 03 16 146  3.3  4.3  2.91 12.50  8.83 999 1012.6  24.2  25.3 999.0 99.0
98 01 03 17 162  3.2  4.5  2.53 12.50  8.22 999 1012.5  24.2  25.3 999.0 99.0
98 01 03 18 169  3.4  4.5  2.52 12.50  8.29 999 1012.7  24.3  25.3 999.0 99.0
98 01 03 19 153  3.7  4.7  2.48 14.29  8.45 999 1012.9  24.6  25.3 999.0 99.0
98 01 03 20 159  4.0  5.5  2.49 12.50  8.34 999 1012.8  24.9  25.3 999.0 99.0
98 01 03 21 159  4.2  5.3  2.34 12.50  8.07 999 1012.5  24.9  25.3 999.0 99.0
98 01 03 22 162  3.9  5.3  2.29 14.29  8.13 999 1012.2  24.6  25.4 999.0 99.0
98 01 03 23 175  3.9  5.0  2.17 14.29  7.71 999 1011.6  24.7  25.5 999.0 99.0
98 01 04 00 201  3.1  4.0  2.50 14.29  8.51 999 1011.0  24.7  25.5 999.0 99.0
98 01 04 01 220  2.7  4.6  2.29 14.29  8.05 999 1010.7  24.4  25.6 999.0 99.0
98 01 04 02 214  2.4  3.1  2.40 14.29  8.38 999 1010.8  24.9  25.7 999.0 99.0
98 01 04 03 230  1.9  2.9  2.30 14.29  8.04 999 1011.2  25.0  25.7 999.0 99.0
98 01 04 04 235  1.8  2.7  2.35 10.00  8.20 999 1011.4  24.6  25.6 999.0 99.0
98 01 04 05 226  1.6  2.8  2.28 11.11  8.49 999 1011.8  24.4  25.5 999.0 99.0
98 01 04 06 235  1.6  2.3  2.18 12.50  7.91 999 1012.4  24.4  25.4 999.0 99.0
98 01 04 07 233  1.5  2.3  2.42 14.29  8.47 999 1012.8  24.4  25.4 999.0 99.0
98 01 04 08 261  1.5  2.3  2.28 12.50  8.25 999 1012.9  24.5  25.4 999.0 99.0
98 01 04 09 307  1.9  2.8  2.38 12.50  8.33 999 1012.9  24.1  25.5 999.0 99.0
98 01 04 10 280  1.6  2.2  2.23 12.50  8.26 999 1012.7  24.5  25.4 999.0 99.0
98 01 04 11 247  1.5  2.7  2.33 12.50  8.50 999 1012.5  24.4  25.4 999.0 99.0
98 01 04 12 273  1.2  2.1  2.29 12.50  8.30 999 1012.1  23.9  25.4 999.0 99.0
98 01 04 13 272  1.0  1.9  2.06 11.11  8.02 999 1011.6  23.9  25.3 999.0 99.0
98 01 04 14 301  1.6  2.3  2.03 12.50  7.83 999 1011.7  23.5  25.3 999.0 99.0
98 01 04 15 294  1.4  2.1  1.93 12.50  7.98 999 1012.0  23.7  25.4 999.0 99.0
98 01 04 16 301   .7  1.8  2.09 10.00  7.81 999 1012.2  23.9  25.3 999.0 99.0
98 01 04 17  10   .0   .4  2.04 10.00  8.28 999 1012.6  23.5  25.3 999.0 99.0
98 01 04 18 190   .1   .7  2.00 20.00  8.34 999 1013.3  24.0  25.4 999.0 99.0
98 01 04 19 190  1.1  1.8  2.03 20.00  8.02 999 1013.6  25.0  25.3 999.0 99.0
98 01 04 20 190   .1  1.2  2.10 20.00  8.17 999 1013.8  25.0  25.4 999.0 99.0
98 01 04 21 339  3.3  4.3  2.14 10.00  8.22 999 1013.3  24.5  25.5 999.0 99.0
98 01 04 22 358  2.6  3.3  2.12 20.00  8.42 999 1012.8  24.2  25.4 999.0 99.0
98 01 04 23 288  4.3  5.6  2.24 20.00  8.25 999 1011.9  22.9  25.4 999.0 99.0
98 01 05 00 333  3.2  4.3  2.35 20.00  8.35 999 1010.8  23.7  25.4 999.0 99.0
