YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 03 10  75  2.3  3.5  2.28 14.29  8.16 999 1016.2  24.1  25.4 999.0 99.0
1999 01 03 11  94  2.9  3.8  2.55 14.29  9.04 999 1016.0  23.9  25.4 999.0 99.0
1999 01 03 12  77  3.3  4.2  2.64 14.29  9.21 999 1015.6  24.0  25.4 999.0 99.0
1999 01 03 13  74  3.1  4.3  2.66 14.29  9.28 999 1014.9  23.9  25.4 999.0 99.0
1999 01 03 14  60  2.1  2.9  2.54 12.50  9.22 999 1014.9  23.6  25.4 999.0 99.0
1999 01 03 15  81  2.1  2.9  2.58 14.29  9.18 999 1014.8  23.8  25.4 999.0 99.0
1999 01 03 16  55  2.9  3.9  2.36 12.50  8.60 999 1015.2  23.6  25.4 999.0 99.0
1999 01 03 17  59  2.3  3.6  2.46 12.50  9.25 999 1015.2  23.5  25.4 999.0 99.0
1999 01 03 18  45  2.0  2.9  2.69 12.50  9.76 999 1015.5  23.7  25.4 999.0 99.0
1999 01 03 19  64  1.7  3.0  2.39 12.50  9.19 999 1015.9  24.0  25.4 999.0 99.0
1999 01 03 20  32  2.1  3.0  2.59 12.50  9.25 999 1016.4  24.4  25.4 999.0 99.0
1999 01 03 21  48  1.6  2.7  2.41 12.50  8.93 999 1016.3  24.1  25.5 999.0 99.0
1999 01 03 22  35  2.0  2.9  2.48 12.50  9.16 999 1016.0  24.3  25.6 999.0 99.0
1999 01 03 23  40  2.1  2.9  2.70 12.50  9.33 999 1014.9  24.1  25.8 999.0 99.0
1999 01 04 00  57  1.3  2.5  2.29 12.50  8.89 999 1013.9  24.2  25.8 999.0 99.0
1999 01 04 01  49  1.5  2.5  2.39 12.50  8.92 999 1013.4  24.2  26.0 999.0 99.0
1999 01 04 02  50  1.8  3.1  2.32 12.50  9.27 999 1013.2  24.3  26.0 999.0 99.0
1999 01 04 03  85  1.9  3.0  2.12 10.00  8.94 999 1013.2  24.2  25.9 999.0 99.0
1999 01 04 04  96  2.0  3.3  1.99 12.50  8.82 999 1013.3  24.2  25.7 999.0 99.0
1999 01 04 05 100  1.8  3.5  1.79 12.50  8.63 999 1013.9  23.7  25.7 999.0 99.0
1999 01 04 06  80  1.2  2.3  2.00 12.50  9.03 999 1014.2  23.6  25.6 999.0 99.0
1999 01 04 07 117  1.1  2.5  1.76 12.50  8.60 999 1014.4  23.7  25.6 999.0 99.0
