#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 09 17 18 30 154  5.4  8.3 99.00 99.00 99.00 999 1013.0  28.3  30.4  24.4 99.0 99.00 
2019 09 17 18 40 154  5.6  8.1  1.54 10.00  7.24   7 1013.0  28.3 999.0  24.3 99.0 99.00 
2019 09 17 18 50 154  5.7  8.5 99.00 99.00 99.00 999 1013.0  28.2  30.2  24.5 99.0 99.00 
2019 09 17 19 00 155  5.5  8.8 99.00 99.00 99.00 999 1013.0  28.3 999.0  24.7 99.0 99.00 
2019 09 17 19 10 153  6.0  8.4 99.00 99.00 99.00 999 1013.0  28.3 999.0  24.4 99.0 99.00 
2019 09 17 19 20 155  5.1  8.0 99.00 99.00 99.00 999 1013.2  28.3  30.3  24.7 99.0 99.00 
2019 09 17 19 30 165  6.6  8.5 99.00 99.00 99.00 999 1013.2  28.3  30.1  24.1 99.0 99.00 
2019 09 17 19 40 166  6.7  9.1  1.53 10.81  7.43 324 1013.3  28.3  30.0  24.3 99.0 99.00 
2019 09 17 19 50 167  6.2  8.5 99.00 99.00 99.00 999 1013.3  28.2  29.9  24.6 99.0 99.00 
2019 09 17 20 00 176  6.9  9.2 99.00 99.00 99.00 999 1013.3  28.1  29.3  24.4 99.0 99.00 
2019 09 17 20 10 177  6.8  9.4 99.00 99.00 99.00 999 1013.4  28.2  28.9  24.4 99.0 99.00 
2019 09 17 20 20 176  6.6  8.1 99.00 99.00 99.00 999 1013.4  28.2  28.8  24.3 99.0 99.00 
2019 09 17 20 30 175  6.6  8.9 99.00 99.00 99.00 999 1013.5  28.2  29.3  24.2 99.0 99.00 
2019 09 17 20 40 181  5.6  8.2 99.00 99.00 99.00 999 1013.5  28.2  29.2  24.3 99.0 99.00 
2019 09 17 20 50 180  4.9  6.6 99.00 99.00 99.00 999 1013.6  28.2  28.9  24.3 99.0 99.00 
2019 09 17 21 00 180  5.0  7.2 99.00 99.00 99.00 999 1013.5  28.3  29.3  24.2 99.0 99.00 
2019 09 17 21 10 183  4.8  6.9 99.00 99.00 99.00 999 1013.5  28.3  30.3  24.3 99.0 99.00 
2019 09 17 21 20 165  2.3  4.1 99.00 99.00 99.00 999 1013.5  28.3  30.3  24.3 99.0 99.00 
2019 09 17 21 30 156  1.8  2.8 99.00 99.00 99.00 999 1013.4  28.3  30.1  24.2 99.0 99.00 
2019 09 17 21 40 149  1.9  2.6 99.00 99.00 99.00 999 1013.3  28.3  30.1  23.8 99.0 99.00 
2019 09 17 21 50 159  1.8  3.3 99.00 99.00 99.00 999 1013.1  28.3  30.2  24.1 99.0 99.00 
2019 09 17 22 00 165  2.6  6.8 99.00 99.00 99.00 999 1013.0  28.3  30.2  24.0 99.0 99.00 
2019 09 17 22 10 171  6.2  8.7 99.00 99.00 99.00 999 1012.9  28.2  29.9  24.0 99.0 99.00 
2019 09 17 22 20 162  6.8  8.4 99.00 99.00 99.00 999 1012.8  28.2  29.4  24.0 99.0 99.00 
2019 09 17 22 30 144  5.2  9.4 99.00 99.00 99.00 999 1012.7  28.4  30.2  24.3 99.0 99.00 
2019 09 17 22 40 144  2.7  7.1 99.00 99.00 99.00 999 1012.5  28.9 999.0  24.6 99.0 99.00 
2019 09 17 22 50 140  2.6  8.9 99.00 99.00 99.00 999 1012.3  29.4 999.0  24.6 99.0 99.00 
2019 09 17 23 00 159  7.5  9.8 99.00 99.00 99.00 999 1012.2  28.3 999.0  24.4 99.0 99.00 
2019 09 17 23 10 159  7.5  9.8 99.00 99.00 99.00 999 1012.0  28.2 999.0  24.4 99.0 99.00 
2019 09 17 23 20 155  6.9  9.6 99.00 99.00 99.00 999 1011.9  28.3 999.0  24.3 99.0 99.00 
2019 09 17 23 30 140  1.4  3.7 99.00 99.00 99.00 999 1011.9  29.0 999.0  24.5 99.0 99.00 
2019 09 17 23 40 129  3.0  9.2 99.00 99.00 99.00 999 1011.8  29.2  28.4  24.4 99.0 99.00 
2019 09 17 23 50 111  8.4  9.8 99.00 99.00 99.00 999 1011.6  28.2  28.3  24.1 99.0 99.00 
2019 09 18 00 00 108  8.4 10.0 99.00 99.00 99.00 999 1011.5  28.1  28.3  24.4 99.0 99.00 
2019 09 18 00 10 107  8.1 10.1 99.00 99.00 99.00 999 1011.5  28.1  28.3  24.5 99.0 99.00 
2019 09 18 00 20 110  8.7 11.5 99.00 99.00 99.00 999 1011.4  28.1  28.3  24.3 99.0 99.00 
2019 09 18 00 30 113  8.8 10.4 99.00 99.00 99.00 999 1011.4  28.2  28.3  24.1 99.0 99.00 
2019 09 18 00 40 117  8.7 10.4 99.00 99.00 99.00 999 1011.3  28.2  28.3  24.0 99.0 99.00 
2019 09 18 00 50 115  8.5 10.5 99.00 99.00 99.00 999 1011.1  28.2  28.3  24.3 99.0 99.00 
2019 09 18 01 00 109  8.9 10.7 99.00 99.00 99.00 999 1011.0  28.2  28.3  24.0 99.0 99.00 
2019 09 18 01 10 111  9.1 11.1 99.00 99.00 99.00 999 1010.9  28.1  28.4  24.0 99.0 99.00 
2019 09 18 01 20 116  9.1 11.3 99.00 99.00 99.00 999 1010.9  28.1  28.3  24.1 99.0 99.00 
2019 09 18 01 30 114  9.5 11.4 99.00 99.00 99.00 999 1010.8  28.1  28.3  23.9 99.0 99.00 
2019 09 18 01 40 116  9.0 10.8 99.00 99.00 99.00 999 1010.6  28.1  28.3  24.3 99.0 99.00 
2019 09 18 01 50 118  9.0 11.0 99.00 99.00 99.00 999 1010.6  28.1  28.3  24.3 99.0 99.00 
2019 09 18 02 00 111  9.3 11.6 99.00 99.00 99.00 999 1010.5  28.1  28.3  24.1 99.0 99.00 
2019 09 18 02 10 114  8.5 10.3 99.00 99.00 99.00 999 1010.5  28.1  28.3  24.2 99.0 99.00 
2019 09 18 02 20 113  8.7 10.8 99.00 99.00 99.00 999 1010.5  28.0  28.3  24.2 99.0 99.00 
2019 09 18 02 30 115  9.0 10.6 99.00 99.00 99.00 999 1010.5  28.0  28.3  24.1 99.0 99.00 
2019 09 18 02 40 119  8.7 10.7 99.00 99.00 99.00 999 1010.5  28.0  28.3  24.2 99.0 99.00 
2019 09 18 02 50 118  8.4 10.6 99.00 99.00 99.00 999 1010.4  28.0  28.3  24.3 99.0 99.00 
2019 09 18 03 00 115  8.7 10.7 99.00 99.00 99.00 999 1010.4  28.0  28.3  24.3 99.0 99.00 
2019 09 18 03 10 116  8.6 10.7 99.00 99.00 99.00 999 1010.6  28.1  28.3  24.2 99.0 99.00 
2019 09 18 03 20 114  8.7 11.2 99.00 99.00 99.00 999 1010.5  28.1  28.3  24.3 99.0 99.00 
2019 09 18 03 30 111  8.6 11.0 99.00 99.00 99.00 999 1010.6  28.0  28.3  24.4 99.0 99.00 
2019 09 18 03 40 112  8.9 11.0 99.00 99.00 99.00 999 1010.5  28.1  28.3  24.2 99.0 99.00 
2019 09 18 03 50 115  8.6 10.7 99.00 99.00 99.00 999 1010.6  28.0  28.3  24.2 99.0 99.00 
2019 09 18 04 00 110  8.7 10.9 99.00 99.00 99.00 999 1010.7  28.0  28.3  24.4 99.0 99.00 
2019 09 18 04 10 111  8.3 10.2 99.00 99.00 99.00 999 1010.8  28.0  28.3  24.5 99.0 99.00 
2019 09 18 04 20 116  8.3 10.7 99.00 99.00 99.00 999 1011.0  28.0  28.3  24.4 99.0 99.00 
