#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 07 04 50 116  4.2  5.7  1.94 12.12  6.79 999 1016.0 999.0  25.5 999.0 99.0 99.00
2008 03 07 05 50 114  5.5  6.9  1.99 12.90  7.03 999 1016.6 999.0  25.4 999.0 99.0 99.00
2008 03 07 06 50 110  5.8  7.2  1.79 12.12  6.56 999 1017.3 999.0  25.4 999.0 99.0 99.00
2008 03 07 07 50 100  5.7  6.9  1.75 11.43  6.42 999 1017.8 999.0  25.4 999.0 99.0 99.00
2008 03 07 08 50 109  5.1  6.4  1.78 12.12  6.56 999 1018.0 999.0  25.3 999.0 99.0 99.00
2008 03 07 09 50 113  4.3  5.4  1.84 12.12  6.84 999 1017.9 999.0  25.3 999.0 99.0 99.00
2008 03 07 10 50 119  5.5  8.0  1.94 12.12  7.00 999 1017.6 999.0  25.2 999.0 99.0 99.00
2008 03 07 11 50 129  5.8  7.3  1.90 12.12  6.81 999 1017.1 999.0  25.3 999.0 99.0 99.00
2008 03 07 12 50 135  4.8  5.9  1.80 12.12  6.56 999 1017.0 999.0  25.2 999.0 99.0 99.00
2008 03 07 13 50 138  4.8  6.1  1.94 12.90  6.84 999 1016.7 999.0  25.2 999.0 99.0 99.00
2008 03 07 14 50 127  4.1  5.2  2.00 12.90  6.68 999 1017.0 999.0  25.2 999.0 99.0 99.00
2008 03 07 15 50 121  4.0  5.6  1.92 12.90  6.58 999 1017.5 999.0  25.2 999.0 99.0 99.00
2008 03 07 16 50 121  4.5  6.1  1.88 12.12  6.56 999 1018.0 999.0  25.1 999.0 99.0 99.00
2008 03 07 17 50 124  4.2  5.1  1.92 12.12  6.72 999 1018.3 999.0  25.2 999.0 99.0 99.00
2008 03 07 18 50 133  5.2  6.5  1.85 10.81  6.86 999 1018.6 999.0  25.2 999.0 99.0 99.00
2008 03 07 19 50 130  4.5  5.9  1.89 12.12  6.92 999 1019.1 999.0  25.2 999.0 99.0 99.00
2008 03 07 20 50 120  3.9  4.9  1.82 12.12  6.60 999 1019.1 999.0  25.3 999.0 99.0 99.00
2008 03 07 21 50 117  3.1  4.7  1.73 10.00  6.64 999 1018.5 999.0  25.4 999.0 99.0 99.00
2008 03 07 22 50 117  3.8  4.6  1.78 12.12  7.07 999 1017.9 999.0  25.5 999.0 99.0 99.00
2008 03 07 23 50 100  3.7  4.6  1.68 10.00  6.79 999 1017.3 999.0  25.4 999.0 99.0 99.00
2008 03 08 00 50 105  4.4  5.9  1.73  8.33  6.55 999 1016.8 999.0  25.6 999.0 99.0 99.00
2008 03 08 01 50  96  3.8  5.0  1.83 12.12  6.41 999 1016.5 999.0  25.6 999.0 99.0 99.00
2008 03 08 02 50  95  4.2  5.4  2.08 12.90  6.73 999 1016.6 999.0  25.5 999.0 99.0 99.00
2008 03 08 03 50  96  4.3  5.6  1.84 12.90  6.48 999 1016.9 999.0  25.5 999.0 99.0 99.00
2008 03 08 04 50  97  4.3  5.2  2.00 12.12  6.95 999 1017.5 999.0  25.5 999.0 99.0 99.00
2008 03 08 05 50  95  4.7  5.7  2.00 11.43  6.85 999 1018.0 999.0  25.4 999.0 99.0 99.00
2008 03 08 06 50  82  5.1  6.1  2.09 12.90  7.07 999 1018.7 999.0  25.3 999.0 99.0 99.00
2008 03 08 07 50  79  5.3  6.5  1.84 10.81  6.69 999 1019.1 999.0  25.2 999.0 99.0 99.00
2008 03 08 08 50  87  5.2  7.2  1.84 12.12  6.74 999 1019.1 999.0  25.3 999.0 99.0 99.00
2008 03 08 09 50  82  4.7  5.8  2.06 12.12  7.14 999 1019.1 999.0  25.3 999.0 99.0 99.00
2008 03 08 10 50  97  4.8  5.9  1.96 12.12  6.77 999 1018.7 999.0  25.3 999.0 99.0 99.00
2008 03 08 11 50 118  5.2  6.2  1.92 11.43  6.62 999 1018.1 999.0  25.2 999.0 99.0 99.00
2008 03 08 12 50 117  6.4  7.7  1.80 10.81  6.26 999 1017.4 999.0  25.2 999.0 99.0 99.00
2008 03 08 13 50 112  5.6  6.8  1.76 12.12  6.02 999 1016.9 999.0  25.2 999.0 99.0 99.00
2008 03 08 14 50 118  6.2  7.7  1.83 10.00  6.25 999 1016.8 999.0  25.2 999.0 99.0 99.00
2008 03 08 15 50 112  5.8  7.1  1.90 10.81  6.11 999 1017.1 999.0  25.2 999.0 99.0 99.00
2008 03 08 16 50 109  5.8  7.0  1.74 10.00  6.02 999 1017.7 999.0  25.2 999.0 99.0 99.00
2008 03 08 17 50 108  4.8  6.2  1.88 12.12  6.10 999 1018.3 999.0  25.2 999.0 99.0 99.00
2008 03 08 18 50 104  5.7  6.7  1.88 10.00  6.37 999 1018.6 999.0  25.2 999.0 99.0 99.00
2008 03 08 19 50 118  5.2  6.2  1.74 11.43  6.31 999 1018.9 999.0  25.2 999.0 99.0 99.00
2008 03 08 20 50 127  5.0  6.1  1.70 11.43  6.26 999 1019.0 999.0  25.3 999.0 99.0 99.00
2008 03 08 21 50 126  4.4  5.4  1.62 11.43  6.08 999 1018.7 999.0  25.3 999.0 99.0 99.00
2008 03 08 22 50 129  4.1  5.2  1.60 11.43  6.21 999 1017.9 999.0  25.4 999.0 99.0 99.00
2008 03 08 23 50 136  3.5  4.8  1.69 10.81  6.06 999 1017.0 999.0  25.5 999.0 99.0 99.00
2008 03 09 00 50 131  3.2  4.5  1.63 10.81  6.41 999 1016.5 999.0  25.7 999.0 99.0 99.00
2008 03 09 01 50 133  2.5  3.3  1.66 11.43  6.43 999 1016.1 999.0  25.7 999.0 99.0 99.00
2008 03 09 02 50 152  4.4  5.8  1.56 10.81  6.30 999 1016.3 999.0  25.6 999.0 99.0 99.00
2008 03 09 03 50  97  3.6  4.5  1.59 10.81  6.46 999 1016.5 999.0  25.5 999.0 99.0 99.00
2008 03 09 04 50  96  4.9  5.9  1.61 10.81  6.38 999 1016.8 999.0  25.4 999.0 99.0 99.00
2008 03 09 05 50 109  4.0  5.6  1.63 10.81  6.24 999 1017.1 999.0  25.4 999.0 99.0 99.00
2008 03 09 06 50 123  4.7  5.6  1.58 11.43  6.28 999 1017.5 999.0  25.4 999.0 99.0 99.00
2008 03 09 07 50 136  3.7  4.7  1.65 10.81  6.49 999 1018.1 999.0  25.4 999.0 99.0 99.00
2008 03 09 08 50 103  4.5  5.7  1.59  8.33  6.16 999 1018.3 999.0  25.4 999.0 99.0 99.00
2008 03 09 09 50  87  5.0  6.3  1.67 11.43  6.77 999 1018.3 999.0  25.3 999.0 99.0 99.00
2008 03 09 10 50  95  4.7  6.5  1.38  8.33  5.95 999 1018.1 999.0  25.3 999.0 99.0 99.00
2008 03 09 11 50 106  5.1  6.3  1.32 10.81  5.69 999 1017.5 999.0  25.3 999.0 99.0 99.00
2008 03 09 12 50  86  4.5  5.5  1.39 10.81  5.68 999 1017.3 999.0  25.2 999.0 99.0 99.00
2008 03 09 13 50  80  4.5  5.5  1.48 10.81  5.78 999 1017.0 999.0  25.3 999.0 99.0 99.00
2008 03 09 14 50  76  4.7  5.7  1.31 10.00  5.61 999 1017.1 999.0  25.2 999.0 99.0 99.00
2008 03 09 15 50  85  5.1  6.5  1.34  8.33  5.44 999 1017.5 999.0  25.2 999.0 99.0 99.00
2008 03 09 16 50  93  5.3  6.8  1.40 10.81  5.95 999 1017.9 999.0  25.2 999.0 99.0 99.00
2008 03 09 17 50  97  5.4  6.7  1.27 10.81  5.48 999 1018.3 999.0  25.2 999.0 99.0 99.00
2008 03 09 18 50  92  5.6  6.7  1.36 10.81  5.49 999 1018.6 999.0  25.2 999.0 99.0 99.00
2008 03 09 19 50  97  5.2  6.5  1.48 10.81  6.03 999 1019.1 999.0  25.3 999.0 99.0 99.00
2008 03 09 20 50 107  5.4  7.0  1.35  9.09  5.69 999 1019.0 999.0  25.3 999.0 99.0 99.00
2008 03 09 21 50 107  5.6  6.8  1.34  8.33  5.52 999 1018.6 999.0  25.4 999.0 99.0 99.00
2008 03 09 22 50 101  5.3  6.7  1.35 10.81  5.55 999 1017.9 999.0  25.4 999.0 99.0 99.00
2008 03 09 23 50 107  4.9  6.1  1.38  8.33  5.43 999 1017.2 999.0  25.5 999.0 99.0 99.00
2008 03 10 00 50 115  5.0  6.1  1.32 10.00  5.38 999 1016.5 999.0  25.5 999.0 99.0 99.00
2008 03 10 01 50 116  5.5  6.5  1.19 10.00  5.09 999 1016.1 999.0  25.5 999.0 99.0 99.00
2008 03 10 02 50 116  5.2  6.5  1.37 10.00  5.55 999 1016.1 999.0  25.4 999.0 99.0 99.00
2008 03 10 03 50 112  4.6  5.7  1.24 10.00  5.13 999 1016.4 999.0  25.4 999.0 99.0 99.00
2008 03 10 04 50 107  4.6  5.7  1.31 10.81  5.65 999 1016.9 999.0  25.4 999.0 99.0 99.00
2008 03 10 05 50 107  4.3  5.2  1.22 10.00  5.47 999 1017.3 999.0  25.4 999.0 99.0 99.00
2008 03 10 06 50 107  4.3  5.7  1.24 10.00  5.70 999 1017.8 999.0  25.3 999.0 99.0 99.00
2008 03 10 07 50 100  4.4  5.5  1.24 10.81  5.77 999 1018.2 999.0  25.3 999.0 99.0 99.00
2008 03 10 08 50 101  4.5  5.4  1.18  8.33  5.71 999 1018.4 999.0  25.3 999.0 99.0 99.00
2008 03 10 09 50 104  4.7  5.3  1.22 10.00  5.82 999 1018.3 999.0  25.3 999.0 99.0 99.00
2008 03 10 10 50  99  3.9  4.8  1.32 10.00  6.29 999 1018.1 999.0  25.2 999.0 99.0 99.00
2008 03 10 11 50 102  3.9  4.9  1.36 11.43  6.37 999 1017.6 999.0  25.2 999.0 99.0 99.00
2008 03 10 12 50 107  4.1  5.0  1.31 10.81  6.10 999 1017.0 999.0  25.2 999.0 99.0 99.00
2008 03 10 13 50 101  4.4  5.6  1.35 10.81  6.12 999 1016.6 999.0  25.2 999.0 99.0 99.00
2008 03 10 14 50 112  4.1  5.2  1.44 10.00  6.43 999 1016.6 999.0  25.2 999.0 99.0 99.00
2008 03 10 15 50 104  4.6  5.8  1.31 10.00  6.23 999 1016.9 999.0  25.2 999.0 99.0 99.00
2008 03 10 16 50 111  4.7  6.1  1.30 10.00  5.97 999 1017.5 999.0  25.2 999.0 99.0 99.00
2008 03 10 17 50 114  5.0  6.0  1.25  8.33  5.69 999 1018.1 999.0  25.2 999.0 99.0 99.00
2008 03 10 18 50 115  5.1  6.1  1.26 10.00  5.29 999 1018.7 999.0  25.2 999.0 99.0 99.00
2008 03 10 19 50 116  4.8  5.9  1.38  9.09  5.83 999 1019.2 999.0  25.2 999.0 99.0 99.00
2008 03 10 20 50 121  4.9  5.9  1.48  9.09  6.09 999 1019.1 999.0  25.3 999.0 99.0 99.00
2008 03 10 21 50 126  3.8  5.2  1.36 16.00  6.17 999 1018.8 999.0  25.4 999.0 99.0 99.00
2008 03 10 22 50 132  4.2  5.4  1.40 16.00  6.66 999 1018.2 999.0  25.6 999.0 99.0 99.00
2008 03 10 23 50 138  3.3  4.0  1.52 16.00  6.91 999 1017.5 999.0  25.7 999.0 99.0 99.00
2008 03 11 00 50 110  2.4  3.6  1.58 14.81  7.13 999 1016.8 999.0  25.9 999.0 99.0 99.00
2008 03 11 01 50 115  2.8  4.2  1.73 16.00  7.88 999 1016.5 999.0  26.0 999.0 99.0 99.00
2008 03 11 02 50 109  2.5  3.9  1.67 14.81  7.62 999 1016.4 999.0  25.9 999.0 99.0 99.00
2008 03 11 03 50 106  2.5  3.3  1.92 13.79  7.91 999 1016.9 999.0  25.8 999.0 99.0 99.00
2008 03 11 04 50 106  3.7  4.8  1.78 10.00  7.73 999 1017.4 999.0  25.7 999.0 99.0 99.00
2008 03 11 05 50 109  3.7  4.5  1.82 14.81  7.75 999 1018.1 999.0  25.5 999.0 99.0 99.00
2008 03 11 06 50 119  4.3  5.4  1.82 13.79  7.80 999 1018.6 999.0  25.4 999.0 99.0 99.00
2008 03 11 07 50  93  4.0  5.6  2.02 13.79  8.28 999 1019.1 999.0  25.4 999.0 99.0 99.00
2008 03 11 08 50 112  4.9  6.0  1.87 12.90  7.95 999 1019.4 999.0  25.4 999.0 99.0 99.00
2008 03 11 09 50 109  4.0  5.7  1.73 13.79  7.81 999 1019.6 999.0  25.4 999.0 99.0 99.00
2008 03 11 10 50 112  3.6  4.3  1.94 12.12  8.14 999 1019.4 999.0  25.3 999.0 99.0 99.00
2008 03 11 11 50  98  4.1  5.2  2.06 12.90  8.33 999 1018.7 999.0  25.3 999.0 99.0 99.00
2008 03 11 12 50  99  3.8  4.8  2.12 16.00  8.26 999 1018.3 999.0  25.3 999.0 99.0 99.00
2008 03 11 13 50  92  4.4  5.4  1.90 12.90  7.83 999 1018.1 999.0  25.3 999.0 99.0 99.00
2008 03 11 14 50  93  3.6  4.4  1.62 12.12  6.89 999 1018.0 999.0  25.3 999.0 99.0 99.00
2008 03 11 15 50  80  4.7  5.9  1.82 12.12  7.48 999 1018.2 999.0  25.3 999.0 99.0 99.00
2008 03 11 16 50  90  5.1  6.4  1.60 13.79  7.03 999 1018.9 999.0  25.3 999.0 99.0 99.00
2008 03 11 17 50  81  4.7  5.9  1.61 12.90  6.75 999 1019.4 999.0  25.2 999.0 99.0 99.00
2008 03 11 18 50  82  4.9  6.0  1.57 13.79  6.78 999 1019.9 999.0  25.3 999.0 99.0 99.00
2008 03 11 19 50  70  5.0  6.2  1.61 14.81  6.95 999 1020.3 999.0  25.3 999.0 99.0 99.00
2008 03 11 20 50  84  5.1  6.6  1.54 12.12  6.80 999 1020.6 999.0  25.4 999.0 99.0 99.00
2008 03 11 21 50  86  5.7  6.9  1.60 13.79  7.12 999 1020.1 999.0  25.4 999.0 99.0 99.00
2008 03 11 22 50 100  6.4  8.2  1.58 14.81  6.52 999 1019.2 999.0  25.5 999.0 99.0 99.00
2008 03 11 23 50 100  5.6  6.8  1.70 13.79  6.66 999 1018.6 999.0  25.5 999.0 99.0 99.00
2008 03 12 00 50 103  5.6  6.7  1.64 12.90  6.42 999 1017.8 999.0  25.6 999.0 99.0 99.00
2008 03 12 01 50 106  5.6  7.2  1.83 12.12  6.87 999 1017.0 999.0  25.6 999.0 99.0 99.00
2008 03 12 02 50 105  5.7  7.0  1.92 14.81  7.62 999 1017.0 999.0  25.6 999.0 99.0 99.00
2008 03 12 03 50  94  5.9  7.4  1.87 12.90  6.95 999 1017.2 999.0  25.4 999.0 99.0 99.00
2008 03 12 04 50  98  5.5  6.6  1.74 14.81  6.51 999 1017.8 999.0  25.4 999.0 99.0 99.00
2008 03 12 05 50 104  4.5  5.6  1.86 13.79  7.00 999 1018.4 999.0  25.4 999.0 99.0 99.00
2008 03 12 06 50  94  4.6  5.7  1.99 14.81  7.54 999 1019.0 999.0  25.4 999.0 99.0 99.00
2008 03 12 07 50  93  4.5  5.5  2.01 14.81  7.99 999 1019.6 999.0  25.4 999.0 99.0 99.00
2008 03 12 08 50  89  5.3  6.4  1.88 13.79  7.77 999 1019.5 999.0  25.3 999.0 99.0 99.00
2008 03 12 09 50  87  5.1  6.2  1.76 14.81  7.53 999 1019.2 999.0  25.4 999.0 99.0 99.00
2008 03 12 10 50  77  5.4  6.3  1.98 12.90  8.03 999 1019.1 999.0  25.3 999.0 99.0 99.00
2008 03 12 11 50  84  6.0  7.4  1.86 14.81  7.57 999 1018.6 999.0  25.4 999.0 99.0 99.00
2008 03 12 12 50  88  5.6  7.0  2.33 12.90  8.23 999 1017.9 999.0  25.4 999.0 99.0 99.00
2008 03 12 13 50  85  4.7  6.1  2.39 12.90  8.53 999 1017.7 999.0  25.3 999.0 99.0 99.00
2008 03 12 14 50  88  5.1  6.4  2.14 13.79  7.54 999 1017.4 999.0  25.3 999.0 99.0 99.00
2008 03 12 15 50  91  5.4  6.7  2.40 14.81  8.08 999 1017.7 999.0  25.3 999.0 99.0 99.00
2008 03 12 16 50  91  6.3  7.8  2.41 12.90  8.00 999 1018.0 999.0  25.3 999.0 99.0 99.00
2008 03 12 17 50  98  5.9  7.1  2.40 13.79  7.85 999 1018.6 999.0  25.3 999.0 99.0 99.00
2008 03 12 18 50 105  6.2  7.7  2.40 13.79  7.90 999 1019.3 999.0  25.3 999.0 99.0 99.00
2008 03 12 19 50 110  6.3  7.7  2.25 12.90  7.50 999 1019.2 999.0  25.3 999.0 99.0 99.00
2008 03 12 20 50 104  6.7  8.5  2.61 17.39  7.83 999 1019.1 999.0  25.4 999.0 99.0 99.00
2008 03 12 21 50 110  7.0  8.5  2.67 17.39  8.42 999 1018.7 999.0  25.4 999.0 99.0 99.00
2008 03 12 22 50 114  6.9  8.6  2.73 16.00  8.73 999 1017.7 999.0  25.5 999.0 99.0 99.00
2008 03 12 23 50 115  6.9  9.4  3.05 16.00  8.92 999 1016.9 999.0  25.5 999.0 99.0 99.00
2008 03 13 00 50 113  6.4  8.1  2.72 14.81  7.97 999 1016.1 999.0  25.5 999.0 99.0 99.00
2008 03 13 01 50 103  5.3  7.1  3.04 16.00  8.53 999 1015.9 999.0  25.5 999.0 99.0 99.00
2008 03 13 02 50 110  6.0  7.4  2.75 16.00  7.75 999 1016.0 999.0  25.5 999.0 99.0 99.00
2008 03 13 03 50 111  5.7  7.3  3.43 16.00  8.88 999 1016.4 999.0  25.5 999.0 99.0 99.00
2008 03 13 04 50 113  6.0  8.3  2.99 13.79  8.11 999 1016.9 999.0  25.4 999.0 99.0 99.00
2008 03 13 05 50 107  5.6  8.0  3.13 14.81  7.77 999 1017.6 999.0  25.4 999.0 99.0 99.00
2008 03 13 06 50 125  5.0  7.0  3.16 14.81  8.07 999 1018.5 999.0  25.4 999.0 99.0 99.00
2008 03 13 07 50  93  6.7  8.0  2.72 14.81  7.03 999 1018.8 999.0  25.3 999.0 99.0 99.00
2008 03 13 08 50  83  6.1  7.3  2.83 13.79  7.31 999 1019.0 999.0  25.3 999.0 99.0 99.00
2008 03 13 09 50  89  5.7  7.1  3.12 14.81  7.82 999 1018.7 999.0  25.3 999.0 99.0 99.00
2008 03 13 10 50  83  5.5  6.7  3.19 13.79  8.12 999 1018.4 999.0  25.2 999.0 99.0 99.00
2008 03 13 11 50  77  5.9  7.4  3.08 13.79  8.06 999 1017.8 999.0  25.2 999.0 99.0 99.00
2008 03 13 12 50  79  6.6  8.0  3.30 14.81  8.05 999 1016.9 999.0  25.2 999.0 99.0 99.00
2008 03 13 13 50  79  6.6  8.0  3.09 13.79  7.60 999 1016.6 999.0  25.2 999.0 99.0 99.00
2008 03 13 14 50  94  7.6  8.7  2.99 12.90  7.37 999 1015.9 999.0  25.2 999.0 99.0 99.00
2008 03 13 15 50  72  7.5  8.5  3.26 13.79  7.41 999 1016.4 999.0  25.2 999.0 99.0 99.00
2008 03 13 16 50  73  8.6 10.2  3.07  8.33  7.01 999 1016.6 999.0  25.1 999.0 99.0 99.00
2008 03 13 17 50  82  8.3 10.4  3.33 12.12  7.48 999 1017.1 999.0  25.1 999.0 99.0 99.00
2008 03 13 18 50  87  8.3  9.7  3.11 12.12  7.41 999 1017.5 999.0  25.1 999.0 99.0 99.00
2008 03 13 19 50  92  8.9 10.5  3.07 13.79  7.12 999 1017.7 999.0  25.1 999.0 99.0 99.00
2008 03 13 20 50  97  9.0 10.6  3.02 12.90  6.88 999 1017.7 999.0  25.2 999.0 99.0 99.00
2008 03 13 21 50  97  8.9 10.1  2.98 13.79  6.88 999 1017.2 999.0  25.2 999.0 99.0 99.00
2008 03 13 22 50 104  6.7  8.5  3.05 13.79  7.26 999 1017.0 999.0  25.3 999.0 99.0 99.00
2008 03 13 23 50  94  5.6  6.8  3.28 13.79  7.63 999 1016.4 999.0  25.3 999.0 99.0 99.00
2008 03 14 00 50  99  5.9  7.2  3.10  8.33  7.07 999 1016.0 999.0  25.4 999.0 99.0 99.00
2008 03 14 01 50 106  6.2  7.3  3.25 12.90  8.00 999 1015.6 999.0  25.4 999.0 99.0 99.00
2008 03 14 02 50 104  5.4  7.1  3.06 12.90  7.38 999 1015.4 999.0  25.4 999.0 99.0 99.00
2008 03 14 03 50  95  5.2  6.4  2.94 12.90  7.23 999 1015.9 999.0  25.2 999.0 99.0 99.00
2008 03 14 04 50 107  6.2  7.3  3.03 12.90  7.42 999 1016.3 999.0  25.1 999.0 99.0 99.00
2008 03 14 05 50  84  5.0  6.1  2.66 12.90  6.82 999 1017.1 999.0  25.0 999.0 99.0 99.00
2008 03 14 06 50 106  6.5  8.3  2.51 12.90  6.90 999 1017.5 999.0  24.9 999.0 99.0 99.00
2008 03 14 07 50 101  5.3  6.5  2.70 12.90  7.10 999 1017.8 999.0  24.9 999.0 99.0 99.00
2008 03 14 08 50 106  5.5  6.9  2.76 12.90  7.27 999 1017.8 999.0  24.8 999.0 99.0 99.00
2008 03 14 09 50 111  5.7  7.2  2.50 12.90  6.51 999 1017.5 999.0  24.8 999.0 99.0 99.00
2008 03 14 10 50 108  5.8  6.9  2.67 12.90  7.09 999 1017.3 999.0  24.8 999.0 99.0 99.00
2008 03 14 11 50  98  5.3  6.4  2.47 12.90  6.62 999 1016.7 999.0  24.8 999.0 99.0 99.00
2008 03 14 12 50 108  6.1  7.5  2.54  9.09  6.90 999 1016.2 999.0  24.8 999.0 99.0 99.00
2008 03 14 13 50 101  5.0  6.2  2.40  9.09  6.70 999 1016.2 999.0  24.7 999.0 99.0 99.00
2008 03 14 14 50 111  5.7  6.8  2.53  8.33  6.64 999 1015.8 999.0  24.7 999.0 99.0 99.00
2008 03 14 15 50  79  5.3  6.4  2.72 12.90  7.15 999 1016.6 999.0  24.7 999.0 99.0 99.00
2008 03 14 16 50  81  6.6  7.5  2.53  9.09  6.62 999 1017.1 999.0  24.7 999.0 99.0 99.00
2008 03 14 17 50 103  6.3  7.5  2.72  9.09  6.70 999 1017.1 999.0  24.7 999.0 99.0 99.00
2008 03 14 18 50  97  4.9  6.0  2.58 12.12  6.95 999 1017.9 999.0  24.7 999.0 99.0 99.00
2008 03 14 19 50  61  7.0  8.2  2.26  9.09  6.54 999 1018.3 999.0  24.8 999.0 99.0 99.00
2008 03 14 20 50  80  6.0  7.4  2.53  9.09  6.62 999 1018.2 999.0  24.8 999.0 99.0 99.00
2008 03 14 21 50  77  5.2  6.1  2.56  9.09  6.75 999 1017.6 999.0  24.9 999.0 99.0 99.00
2008 03 14 22 50  83  5.4  7.0  2.50 12.12  6.80 999 1016.9 999.0  24.9 999.0 99.0 99.00
2008 03 14 23 50 102  7.0  8.3  2.80  9.09  6.81 999 1016.1 999.0  25.0 999.0 99.0 99.00
2008 03 15 00 50 110  6.7  8.0  2.37 12.12  6.51 999 1015.4 999.0  25.0 999.0 99.0 99.00
2008 03 15 01 50 122  7.8  9.5  2.33  8.33  6.33 999 1015.1 999.0  25.0 999.0 99.0 99.00
2008 03 15 02 50 115  8.1  9.9  2.52  8.33  6.12 999 1015.5 999.0  25.0 999.0 99.0 99.00
2008 03 15 03 50 111  8.7 10.1  2.71  7.69  6.29 999 1015.8 999.0  24.9 999.0 99.0 99.00
2008 03 15 04 50  99  8.2  9.5  2.56  8.33  6.03 999 1016.3 999.0  24.9 999.0 99.0 99.00
2008 03 15 05 50 107  8.5 10.4  2.58 10.81  6.03 999 1016.7 999.0  24.9 999.0 99.0 99.00
2008 03 15 06 50 102  8.6  9.8  2.64  9.09  6.02 999 1017.2 999.0  24.8 999.0 99.0 99.00
2008 03 15 07 50 102  8.1 10.1  2.87  9.09  6.53 999 1017.4 999.0  24.8 999.0 99.0 99.00
2008 03 15 08 50 100  8.1  9.5  2.72 11.43  6.33 999 1017.6 999.0  24.8 999.0 99.0 99.00
2008 03 15 09 50 116  7.7  9.0  2.70  8.33  6.40 999 1017.5 999.0  24.8 999.0 99.0 99.00
2008 03 15 10 50 117  7.9  9.4  2.59 10.81  6.25 999 1017.3 999.0  24.8 999.0 99.0 99.00
2008 03 15 11 50 119  8.3 10.1  2.58 11.43  6.27 999 1016.8 999.0  24.8 999.0 99.0 99.00
2008 03 15 12 50 120  7.7  9.4  2.46 11.43  6.03 999 1016.4 999.0  24.8 999.0 99.0 99.00
2008 03 15 13 50 127  6.7  8.4  2.40 10.81  6.05 999 1016.2 999.0  24.8 999.0 99.0 99.00
2008 03 15 14 50 129  7.5  8.9  2.36  8.33  5.88 999 1016.0 999.0  24.7 999.0 99.0 99.00
2008 03 15 15 50 127  6.6  7.7  2.33 10.00  6.11 999 1016.4 999.0  24.7 999.0 99.0 99.00
2008 03 15 16 50  93  9.1 11.1  2.37  8.33  6.04 999 1016.9 999.0  24.7 999.0 99.0 99.00
2008 03 15 17 50  90  6.9  9.0  2.40  9.09  6.13 999 1017.5 999.0  24.7 999.0 99.0 99.00
2008 03 15 18 50  93  6.1  7.5  2.57  9.09  6.45 999 1017.9 999.0  24.7 999.0 99.0 99.00
2008 03 15 19 50 102  6.3  7.7  2.36  9.09  6.00 999 1018.4 999.0  24.8 999.0 99.0 99.00
2008 03 15 20 50 124  7.9  9.1  2.22  8.33  6.06 999 1018.0 999.0  24.8 999.0 99.0 99.00
2008 03 15 21 50 127  7.8  9.4  2.28  8.33  5.81 999 1017.5 999.0  24.9 999.0 99.0 99.00
2008 03 15 22 50 127  8.6 10.7  2.47  9.09  5.90 999 1016.6 999.0  24.9 999.0 99.0 99.00
2008 03 15 23 50 133  8.3  9.8  2.31  7.69  5.66 999 1015.4 999.0  24.9 999.0 99.0 99.00
2008 03 16 00 50 126  9.1 10.6  2.55  8.33  5.88 999 1014.6 999.0  24.9 999.0 99.0 99.00
2008 03 16 01 50 125  8.1  9.5  2.55  8.33  5.88 999 1014.4 999.0  24.9 999.0 99.0 99.00
2008 03 16 02 50  84  8.0  9.7  2.58  8.33  5.92 999 1014.5 999.0  24.9 999.0 99.0 99.00
2008 03 16 03 50 102  7.2  8.5  2.50  9.09  6.14 999 1014.9 999.0  24.9 999.0 99.0 99.00
2008 03 16 04 50 107  5.9  7.0  2.70  9.09  6.26 999 1015.3 999.0  24.9 999.0 99.0 99.00
2008 03 16 05 50 108  7.0  8.1  2.44  8.33  6.01 999 1015.9 999.0  24.8 999.0 99.0 99.00
2008 03 16 06 50 108  6.2  7.2  2.49  8.33  6.07 999 1016.5 999.0  24.8 999.0 99.0 99.00
2008 03 16 08 50 120  7.0  8.0  2.17  8.33  5.77 999 1017.2 999.0  24.8 999.0 99.0 99.00
2008 03 16 09 50 117  6.5  7.9  2.23  8.33  5.86 999 1017.1 999.0  24.8 999.0 99.0 99.00
2008 03 16 10 50 115  5.9  7.1  2.39  9.09  6.20 999 1016.7 999.0  24.8 999.0 99.0 99.00
2008 03 16 11 50 109  8.3 12.2  2.19  8.33  5.91 999 1015.7 999.0  24.8 999.0 99.0 99.00
2008 03 16 12 50  95  6.7  8.0  2.38  9.09  6.30 999 1015.1 999.0  24.8 999.0 99.0 99.00
2008 03 16 13 50  93  7.8  9.1  2.34  9.09  6.12 999 1014.7 999.0  24.8 999.0 99.0 99.00
2008 03 16 14 50 103  5.7  7.0  2.21  8.33  6.12 999 1014.9 999.0  24.8 999.0 99.0 99.00
2008 03 16 15 50 101  5.6  8.7  2.29  9.09  6.07 999 1015.4 999.0  24.7 999.0 99.0 99.00
2008 03 16 16 50 111  7.0  8.1  2.40  9.09  5.88 999 1016.2 999.0  24.7 999.0 99.0 99.00
2008 03 16 17 50 108  7.9  9.3  2.43  7.14  6.11 999 1016.8 999.0  24.7 999.0 99.0 99.00
2008 03 16 18 50 108  8.1  9.8  2.49  8.33  6.08 999 1017.3 999.0  24.8 999.0 99.0 99.00
2008 03 16 19 50  99  5.8  7.2  2.32  9.09  5.87 999 1017.7 999.0  24.8 999.0 99.0 99.00
