#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 03 03 00  74  9.0 11.0  3.13  7.69  6.31 999 1015.4 999.0  25.5 999.0 99.0 99.00
2008 01 03 04 00  73  8.7 10.5  3.08  9.09  6.48 999 1016.2 999.0  25.5 999.0 99.0 99.00
2008 01 03 05 00  70  9.4 11.0  3.30  8.33  6.56 999 1016.7 999.0  25.5 999.0 99.0 99.00
2008 01 03 06 00  72  9.5 11.2  3.05  9.09  6.32 999 1017.4 999.0  25.5 999.0 99.0 99.00
2008 01 03 07 00  73  9.1 10.7  3.10  8.33  6.48 999 1017.7 999.0  25.5 999.0 99.0 99.00
2008 01 03 08 00  87 10.1 12.7  3.27  8.33  6.61 999 1018.3 999.0  25.5 999.0 99.0 99.00
2008 01 03 09 00  73  9.3 10.7  3.04  8.33  6.44 999 1018.1 999.0  25.5 999.0 99.0 99.00
2008 01 03 10 00  64  9.4 11.1  3.13  9.09  6.45 999 1017.8 999.0  25.5 999.0 99.0 99.00
2008 01 03 11 00  76 10.5 12.5  3.25  9.09  6.57 999 1017.4 999.0  25.5 999.0 99.0 99.00
2008 01 03 12 00  73  9.0 11.2  3.16  7.69  6.31 999 1017.2 999.0  25.5 999.0 99.0 99.00
2008 01 03 13 00  65  9.4 10.8  3.11  7.69  6.51 999 1016.7 999.0  25.5 999.0 99.0 99.00
2008 01 03 14 00  72  8.5 10.1  2.88  7.14  6.22 999 1016.6 999.0  25.5 999.0 99.0 99.00
2008 01 03 15 00  72 10.0 12.2  3.09  8.33  6.56 999 1016.3 999.0  25.5 999.0 99.0 99.00
2008 01 03 16 00  85 10.1 12.2  2.89 10.00  6.22 999 1016.4 999.0  25.5 999.0 99.0 99.00
2008 01 03 17 00  76  9.2 12.1  2.99  7.14  6.13 999 1016.8 999.0  25.5 999.0 99.0 99.00
2008 01 03 18 00  73 10.1 12.2  2.88 10.00  6.21 999 1017.3 999.0  25.5 999.0 99.0 99.00
2008 01 03 19 00  75 10.7 13.1  2.74  8.33  6.07 999 1017.7 999.0  25.5 999.0 99.0 99.00
2008 01 03 20 00  76 10.8 14.3  3.29  7.69  6.32 999 1018.0 999.0  25.5 999.0 99.0 99.00
2008 01 03 21 00  80 10.4 12.6  3.32  8.33  6.32 999 1017.8 999.0  25.5 999.0 99.0 99.00
2008 01 03 22 00  86  9.1 11.0  2.90  7.69  5.99 999 1017.5 999.0  25.6 999.0 99.0 99.00
2008 01 03 23 00  71 10.7 13.2  2.83  8.33  6.13 999 1016.6 999.0  25.6 999.0 99.0 99.00
