YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 09 18  17  2.5  4.8  2.24 14.29  9.45 999 9999.0 -49.4 999.0 999.0 99.0 99.00
2001 01 09 19  64  2.1  7.1  1.96 12.50  8.52 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 09 20  33  4.7  7.2  2.42 14.29 10.42 999 9999.0 -49.4 999.0 999.0 99.0 99.00
2001 01 09 21 354  3.8  5.8  2.13 14.29  9.76 999 1019.0  25.2  26.7 999.0 99.0 99.00
2001 01 09 22 340  1.6  4.2  2.34 14.29 10.30 999 1018.5  25.9  27.3 999.0 99.0 99.00
2001 01 09 23 360  2.3  4.9  2.30 14.29 10.20 999 1017.7  26.0  27.6 999.0 99.0 99.00
2001 01 10 00  64  6.9  8.5  2.63 14.29  7.83 999 1017.3  25.4  25.6 999.0 99.0 99.00
2001 01 10 01  63  7.3  8.9  2.46 14.29  7.16 999 1016.7  25.2  25.6 999.0 99.0 99.00
2001 01 10 02  63  7.3  8.8  2.79 14.29  7.52 999 1016.5  25.4  25.6 999.0 99.0 99.00
2001 01 10 03  68  8.3 10.2  2.79 14.29  7.60 999 1016.6  25.4  25.6 999.0 99.0 99.00
2001 01 10 04  71  8.7 10.7  2.92 14.29  7.72 999 1016.9  25.3  25.6 999.0 99.0 99.00
2001 01 10 05  67  8.8 10.9  2.78 14.29  7.18 999 1017.4  25.2  25.5 999.0 99.0 99.00
2001 01 10 06  75  9.3 11.1  2.69  8.33  6.99 999 1017.9  25.2  25.5 999.0 99.0 99.00
2001 01 10 07  84  8.7 10.3  2.71  9.09  6.77 999 1018.5  25.1  25.4 999.0 99.0 99.00
2001 01 10 08  85  7.6  9.2  2.98  9.09  6.84 999 1018.9  25.1  25.4 999.0 99.0 99.00
2001 01 10 09  91  6.4  7.9  3.00  9.09  7.16 999 1018.9  25.3  25.4 999.0 99.0 99.00
2001 01 10 10  93  6.9  8.6  2.83  9.09  7.04 999 1018.4  25.0  25.4 999.0 99.0 99.00
2001 01 10 11 106  6.6  8.2  2.84  9.09  6.92 999 1017.8  25.0  25.4 999.0 99.0 99.00
2001 01 10 12 104  6.3  8.2  2.76 14.29  7.17 999 1017.3  24.9  25.4 999.0 99.0 99.00
2001 01 10 13  98  7.1  8.4  2.78  9.09  7.10 999 1016.6  25.1  25.4 999.0 99.0 99.00
2001 01 10 14  88  8.4  9.8  2.85  9.09  7.25 999 1016.0  24.8  25.4 999.0 99.0 99.00
2001 01 10 15  76  8.0  9.6  2.59  9.09  6.66 999 1015.9  24.8  25.4 999.0 99.0 99.00
2001 01 10 16  82  7.5  9.4  2.59  9.09  6.74 999 1016.0  24.7  25.3 999.0 99.0 99.00
2001 01 10 17 103  6.2  7.6  2.56  9.09  6.90 999 1016.2  24.3  25.3 999.0 99.0 99.00
2001 01 10 18 103  7.8 10.5  2.63  9.09  6.93 999 1016.7  25.0  25.3 999.0 99.0 99.00
2001 01 10 19 113  9.1 11.3  2.71 12.50  6.84 999 1016.6  25.1  25.4 999.0 99.0 99.00
2001 01 10 20 111  8.5 10.6  2.76  9.09  6.68 999 1017.1  25.3  25.3 999.0 99.0 99.00
2001 01 10 21 114  9.9 12.1  2.90 12.50  6.70 999 1016.8  25.3  25.3 999.0 99.0 99.00
2001 01 10 22 116  7.4  9.1  2.87  9.09  6.60 999 1016.5  25.4  25.3 999.0 99.0 99.00
2001 01 10 23 113  8.4 10.0  2.85  9.09  6.59 999 1015.5  25.4  25.4 999.0 99.0 99.00
2001 01 11 00 112  9.4 11.7  2.80  9.09  6.29 999 1014.6  25.4  25.4 999.0 99.0 99.00
2001 01 11 01 113  9.6 12.4  2.90  9.09  6.62 999 1013.5  25.2  25.4 999.0 99.0 99.00
2001 01 11 02 110  9.1 11.5  3.03  9.09  6.49 999 1013.3  25.4  25.4 999.0 99.0 99.00
2001 01 11 03 101  9.2 11.3  3.19 10.00  6.97 999 1013.8  25.4  25.4 999.0 99.0 99.00
2001 01 11 04 100  9.5 11.5  3.13 10.00  6.86 999 1014.4  25.3  25.4 999.0 99.0 99.00
2001 01 11 05 102  7.5  9.5  3.24  9.09  6.99 999 1015.1  24.2  25.4 999.0 99.0 99.00
2001 01 11 06 107  6.0  7.6  3.12  9.09  7.29 999 1016.1  24.5  25.4 999.0 99.0 99.00
2001 01 11 07 111  7.9  9.6  2.77 10.00  6.95 999 1016.8  25.2  25.4 999.0 99.0 99.00
2001 01 11 08 108  7.2  9.2  2.79  9.09  7.09 999 1017.2  25.3  25.4 999.0 99.0 99.00
2001 01 11 09 100  7.3  9.7  2.90  9.09  7.07 999 1017.8  25.2  25.4 999.0 99.0 99.00
2001 01 11 10 101  6.8  8.7  2.68 10.00  6.83 999 1018.0  25.2  25.4 999.0 99.0 99.00
2001 01 11 11 105  6.7  8.4  2.77  9.09  7.03 999 1018.1  25.3  25.4 999.0 99.0 99.00
2001 01 11 12  99  7.3 10.3  2.95 10.00  7.33 999 1017.6  25.0  25.4 999.0 99.0 99.00
2001 01 11 13 204  3.3  5.1  2.96 10.00  7.50 999 1017.5  22.8  25.4 999.0 99.0 99.00
2001 01 11 14 342  0.9  2.5  2.60 11.11  7.22 999 1017.2  23.3  25.4 999.0 99.0 99.00
2001 01 11 15 103  7.9  9.9  3.14  9.09  7.48 999 1016.8  25.0  25.3 999.0 99.0 99.00
2001 01 11 16  96  8.0  9.9  3.12 10.00  7.43 999 1017.0  24.7  25.3 999.0 99.0 99.00
2001 01 11 17 105  8.8 10.9  2.92 10.00  7.11 999 1017.4  24.8  25.3 999.0 99.0 99.00
2001 01 11 18  94  6.8  8.5  2.91 10.00  7.37 999 1017.9  25.3  25.3 999.0 99.0 99.00
