YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 01 00 344  8.7 11.5  4.03 14.29  9.19 999 1012.9 999.0  25.6 999.0 99.0 99.00
2002 01 01 01 346  7.8  9.8  3.88 14.29  8.52 999 1013.0 999.0  25.6 999.0 99.0 99.00
2002 01 01 02 345  8.2 10.6  3.58 14.29  8.23 999 1013.2 999.0  25.6 999.0 99.0 99.00
2002 01 01 03 354  8.9 10.8  3.38 14.29  8.06 999 1013.7 999.0  25.5 999.0 99.0 99.00
2002 01 01 04   4  6.4  8.3  3.60 11.11  8.23 999 1014.3 999.0  25.5 999.0 99.0 99.00
2002 01 01 05   7  5.6  7.8  3.40 14.29  8.76 999 1014.5 999.0  25.5 999.0 99.0 99.00
2002 01 01 06  13  7.6  9.6  3.28 14.29  8.62 999 1015.1 999.0  25.5 999.0 99.0 99.00
2002 01 01 07  15  6.5  8.8  3.50 14.29  8.93 999 1015.8 999.0  25.5 999.0 99.0 99.00
2002 01 01 08  29  4.9  8.4  3.25 14.29  8.64 999 1015.9 999.0  25.5 999.0 99.0 99.00
2002 01 01 09  21  5.1  7.2  3.66 14.29  8.93 999 1016.0 999.0  25.6 999.0 99.0 99.00
2002 01 01 10  25  4.4  6.2  3.64 12.50  8.75 999 1015.8 999.0  25.6 999.0 99.0 99.00
2002 01 01 11  53  6.3  8.0  3.50 14.29  8.67 999 1015.9 999.0  25.6 999.0 99.0 99.00
2002 01 01 12  28  4.2  6.3  3.74 14.29  9.24 999 1016.0 999.0  25.6 999.0 99.0 99.00
2002 01 01 13  33  6.0  8.2  4.04 14.29  9.61 999 1015.8 999.0  25.6 999.0 99.0 99.00
2002 01 01 14  27  5.7  7.5  4.23 12.50  9.39 999 1015.7 999.0  25.6 999.0 99.0 99.00
2002 01 01 15  60  5.5  7.9  4.82 14.29 10.15 999 1015.6 999.0  25.6 999.0 99.0 99.00
2002 01 01 16  64  4.0  6.6  4.43 14.29  9.98 999 1015.5 999.0  25.6 999.0 99.0 99.00
2002 01 01 17  66  5.2  6.8  4.21 14.29  9.55 999 1015.7 999.0  25.6 999.0 99.0 99.00
2002 01 01 18  52  6.4  8.1  4.04 14.29  9.32 999 1016.2 999.0  25.6 999.0 99.0 99.00
2002 01 01 19  53  4.3  6.2  4.12 14.29  9.79 999 1016.6 999.0  25.6 999.0 99.0 99.00
