YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 01 01  98  3.5  4.7  1.52  9.09  6.13 999 1014.4  24.7  25.5 999.0 99.0
1999 01 01 02  89  3.5  4.2  1.48  9.09  6.39 999 1014.4  25.0  25.6 999.0 99.0
1999 01 01 03  88  3.9  4.7  1.50  7.69  6.31 999 1014.3  25.0  25.5 999.0 99.0
1999 01 01 04  85  4.3  5.5  1.56  8.33  6.44 999 1014.6  24.7  25.4 999.0 99.0
1999 01 01 05  97  4.2  5.4  1.56  9.09  6.61 999 1014.9  24.4  25.4 999.0 99.0
1999 01 01 06  78  4.2  5.4  1.52  9.09  6.60 999 1015.5  24.5  25.4 999.0 99.0
1999 01 01 07  98  5.0  5.8  1.58  9.09  6.84 999 1016.0  24.5  25.4 999.0 99.0
1999 01 01 08  93  4.6  5.5  1.53  9.09  6.88 999 1016.5  24.5  25.3 999.0 99.0
1999 01 01 09  93  5.2  6.2  1.57  9.09  6.91 999 1016.2  24.5  25.3 999.0 99.0
1999 01 01 10  86  4.7  5.5  1.79 20.00  7.85 999 1015.6  24.3  25.3 999.0 99.0
1999 01 01 11  91  4.0  4.8  2.36 20.00  9.63 999 1015.5  24.3  25.3 999.0 99.0
1999 01 01 12  90  4.2  5.3  2.44 20.00 10.10 999 1014.9  24.1  25.3 999.0 99.0
1999 01 01 13  76  4.3  5.5  2.98 20.00 11.32 999 1014.5  24.0  25.3 999.0 99.0
1999 01 01 14  82  3.8  5.1  3.93 20.00 13.55 999 1014.5  24.0  25.3 999.0 99.0
1999 01 01 15  95  2.4  3.8  3.70 20.00 12.43 999 1014.7  24.0  25.3 999.0 99.0
1999 01 01 16  79  2.1  3.3  4.08 20.00 13.23 999 1015.0  23.9  25.3 999.0 99.0
1999 01 01 17  83  2.4  3.7  4.66 20.00 13.96 999 1015.6  23.8  25.3 999.0 99.0
1999 01 01 18  87  2.9  4.1  4.66 20.00 14.14 999 1016.0  24.2  25.3 999.0 99.0
1999 01 01 19  58  3.2  4.4  4.44 20.00 13.87 999 1016.8  24.3  25.3 999.0 99.0
1999 01 01 20  88  3.5  5.1  4.06 20.00 13.19 999 1016.6  24.5  25.4 999.0 99.0
1999 01 01 21  63  3.9  4.9  4.06 20.00 13.21 999 1016.8  24.5  25.4 999.0 99.0
1999 01 01 22  69  3.0  4.4  4.45 20.00 13.64 999 1016.3  24.4  25.5 999.0 99.0
1999 01 01 23  71  3.4  4.8  4.53 16.67 13.69 999 1015.7  24.4  25.6 999.0 99.0
1999 01 02 00  78  3.1  4.3  4.13 20.00 13.18 999 1014.9  24.5  25.7 999.0 99.0
1999 01 02 01  68  3.5  5.0  3.83 20.00 12.56 999 1014.5  24.5  25.7 999.0 99.0
1999 01 02 02  64  3.6  4.5  4.23 20.00 13.16 999 1014.6  24.7  25.7 999.0 99.0
1999 01 02 03  54  3.7  4.7  3.88 16.67 12.33 999 1014.8  24.7  25.6 999.0 99.0
1999 01 02 04  66  3.4  4.9  3.96 16.67 12.48 999 1015.1  24.5  25.5 999.0 99.0
1999 01 02 05  65  4.1  5.3  3.46 20.00 11.86 999 1015.3  24.3  25.4 999.0 99.0
1999 01 02 06  62  3.8  5.2  3.72 16.67 12.26 999 1016.1  24.1  25.4 999.0 99.0
1999 01 02 07  52  3.7  4.6  3.87 20.00 12.31 999 1016.8  24.1  25.5 999.0 99.0
1999 01 02 08  68  3.3  4.6  3.36 20.00 11.69 999 1017.1  24.2  25.5 999.0 99.0
1999 01 02 09  79  3.5  4.6  3.19 16.67 11.48 999 1016.9  24.0  25.5 999.0 99.0
1999 01 02 10  70  3.2  4.1  3.24 14.29 11.34 999 1016.6  24.0  25.4 999.0 99.0
1999 01 02 11  74  2.9  3.7  3.60 16.67 11.78 999 1016.4  23.9  25.4 999.0 99.0
1999 01 02 12  61  2.9  3.7  3.30 16.67 11.71 999 1016.3  23.9  25.4 999.0 99.0
1999 01 02 13  55  3.1  4.5  3.87 16.67 12.34 999 1015.8  23.8  25.5 999.0 99.0
1999 01 02 14  58  3.4  4.3  4.08 16.67 12.56 999 1015.3  23.7  25.4 999.0 99.0
1999 01 02 15  59  3.3  4.5  3.19 16.67 11.20 999 1015.4  23.7  25.4 999.0 99.0
1999 01 02 16  54  3.7  4.6  3.06 16.67 11.06 999 1015.8  23.9  25.4 999.0 99.0
1999 01 02 17  61  4.3  5.3  3.57 16.67 12.11 999 1016.0  23.8  25.4 999.0 99.0
1999 01 02 18  58  4.5  5.6  3.27 16.67 11.66 999 1016.6  24.1  25.4 999.0 99.0
1999 01 02 19  69  5.3  6.3  3.13 16.67 11.08 999 1017.2  24.2  25.4 999.0 99.0
