YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 01 01  57  5.4  6.3  2.70 10.00  7.29 999 1012.3  24.6  25.5 999.0 99.0
98 01 01 02  58  5.1  6.7  2.90 10.00  7.51 999 1012.2  24.6  25.5 999.0 99.0
98 01 01 03  67  6.8  8.2  2.70 10.00  7.08 999 1012.7  24.6  25.5 999.0 99.0
98 01 01 04  76  6.2  7.9  2.53 11.11  6.92 999 1013.1  24.7  25.5 999.0 99.0
98 01 01 05  70  6.1  7.4  2.84 10.00  7.27 999 1013.7  24.5  25.4 999.0 99.0
98 01 01 06  66  6.4  7.4  2.47 11.11  6.80 999 1014.3  24.4  25.4 999.0 99.0
98 01 01 07  77  6.9  8.3  2.46 10.00  6.57 999 1014.8  24.4  25.4 999.0 99.0
98 01 01 08  73  6.6  7.9  2.51 10.00  6.57 999 1014.9  24.5  25.4 999.0 99.0
98 01 01 09  79  7.0  8.3  2.29 10.00  6.46 999 1014.7  24.6  25.4 999.0 99.0
98 01 01 10  96  6.8  8.1  2.16 11.11  6.04 999 1014.6  24.4  25.4 999.0 99.0
98 01 01 11 105  6.8  7.9  2.32 10.00  6.36 999 1014.4  24.5  25.4 999.0 99.0
98 01 01 12 100  6.3  7.7  2.33 11.11  6.59 999 1014.1  24.4  25.4 999.0 99.0
98 01 01 13  94  5.7  6.7  2.38 10.00  6.56 999 1013.6  24.1  25.4 999.0 99.0
98 01 01 14  78  5.9  7.2  2.17 10.00  6.28 999 1013.4  24.4  25.4 999.0 99.0
98 01 01 15  76  6.8  8.1  2.14 10.00  6.37 999 1013.6  24.2  25.4 999.0 99.0
98 01 01 16  85  6.5  7.6  2.31 10.00  6.53 999 1014.0  24.2  25.4 999.0 99.0
98 01 01 17  91  6.7  8.9  2.24 11.11  6.13 999 1014.6  23.7  25.4 999.0 99.0
98 01 01 18  62  6.2  7.9  2.19 10.00  6.20 999 1014.9  24.0  25.4 999.0 99.0
98 01 01 19  73  8.2  9.3  2.12 10.00  5.80 999 1015.3  24.5  25.4 999.0 99.0
98 01 01 20  71  9.1 10.7  2.18 10.00  5.57 999 1015.4  24.6  25.4 999.0 99.0
98 01 01 21  80  8.8 10.0  2.31 10.00  5.88 999 1014.9  24.4  25.4 999.0 99.0
98 01 01 22  91  8.7 10.5  2.03 10.00  5.36 999 1014.5  24.7  25.4 999.0 99.0
