YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00  91  5.0  6.1  2.84 14.29  8.02 999 1013.3  24.4  25.3 999.0 99.0 99.00
2001 01 01 01  93  6.1  7.8  3.01 16.67  8.47 999 1012.2  24.5  25.4 999.0 99.0 99.00
2001 01 01 02 108  7.1  9.2  2.94 14.29  8.61 999 1011.2  24.6  25.4 999.0 99.0 99.00
2001 01 01 03 113  7.2  9.0  2.62 14.29  7.82 999 1011.0  24.5  25.3 999.0 99.0 99.00
2001 01 01 04 123  5.4  8.6  2.65 14.29  8.16 999 1011.6  24.5  25.3 999.0 99.0 99.00
2001 01 01 05 113  6.2  7.8  2.79 14.29  8.36 999 1012.2  24.6  25.3 999.0 99.0 99.00
2001 01 01 06 114  6.0  7.4  2.41 14.29  7.93 999 1013.1  24.6  25.3 999.0 99.0 99.00
2001 01 01 07  96  3.6  5.1  2.59 14.29  8.19 999 1014.4  24.6  25.3 999.0 99.0 99.00
2001 01 01 08  57  3.5  4.3  2.35 14.29  7.83 999 1015.0  24.6  25.2 999.0 99.0 99.00
2001 01 01 09  78  4.2  5.3  2.44 14.29  8.02 999 1014.9  24.4  25.2 999.0 99.0 99.00
2001 01 01 10  97  5.8  7.2  2.35 14.29  7.82 999 1014.3  24.3  25.2 999.0 99.0 99.00
2001 01 01 11 106  5.8  7.9  2.30 14.29  7.55 999 1014.1  24.3  25.2 999.0 99.0 99.00
2001 01 01 12 119  5.1  6.6  2.10 14.29  7.38 999 1013.6  24.3  25.2 999.0 99.0 99.00
2001 01 01 13 126  4.2  5.9  2.45 14.29  7.69 999 1013.0  24.2  25.2 999.0 99.0 99.00
2001 01 01 14 152  3.8  4.8  2.10 14.29  7.72 999 1012.0  24.1  25.1 999.0 99.0 99.00
2001 01 01 15 135  3.3  4.5  2.08 14.29  7.44 999 1012.1  24.1  25.2 999.0 99.0 99.00
2001 01 01 16 114  2.4  3.0  2.02 14.29  7.58 999 1012.5  24.0  25.2 999.0 99.0 99.00
2001 01 01 17 127  3.6  4.9  2.07 12.50  7.65 999 1012.7  23.9  25.2 999.0 99.0 99.00
2001 01 01 18 126  2.3  3.2  2.12 14.29  7.88 999 1013.8  24.3  25.2 999.0 99.0 99.00
2001 01 01 19 115  3.3  4.4  2.02 14.29  7.81 999 1014.0  24.4  25.2 999.0 99.0 99.00
2001 01 01 20 124  5.2  6.3  1.98 14.29  7.96 999 1013.7  24.4  25.2 999.0 99.0 99.00
2001 01 01 21 102  2.2  3.1  1.80 14.29  7.72 999 1014.5  24.5  25.2 999.0 99.0 99.00
2001 01 01 22 120  2.0  3.1  1.89  9.09  7.51 999 1013.4  24.6  25.4 999.0 99.0 99.00
2001 01 01 23 106  1.6  2.6  1.80 14.29  7.52 999 1012.3  24.5  25.5 999.0 99.0 99.00
2001 01 02 00 164  2.4  3.5  1.67 14.29  7.48 999 1010.9  24.6  25.6 999.0 99.0 99.00
2001 01 02 01 122  1.0  2.3  1.92 14.29  7.87 999 1010.4  24.9  25.7 999.0 99.0 99.00
2001 01 02 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 02 03   0  0.1  0.5  1.81  9.09  7.77 999 1011.0  25.8  25.6 999.0 99.0 99.00
2001 01 02 04 326  1.7  2.5  1.86 12.50  7.91 999 1011.7  24.6  25.6 999.0 99.0 99.00
2001 01 02 05  11  0.6  1.6  1.85 12.50  7.84 999 1011.7  24.4  25.5 999.0 99.0 99.00
