YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00  86  9.3 11.2  2.89 10.00  6.35 999 1006.1  24.6  25.1 999.0 99.0 99.00
2004 01 01 01  86  7.9 10.4  2.94 11.11  6.53 999 1006.0  25.0  25.1 999.0 99.0 99.00
2004 01 01 02  84  8.3 10.2  2.98 10.00  6.75 999 1006.1  24.9  25.1 999.0 99.0 99.00
2004 01 01 03  92  9.2 10.9  2.83 10.00  6.44 999 1005.9  25.0  25.1 999.0 99.0 99.00
2004 01 01 04  93 10.0 11.9  3.13 10.00  6.82 999 1006.7  25.2  25.1 999.0 99.0 99.00
2004 01 01 05  80  9.8 11.9  2.84 11.11  6.38 999 1007.1  25.0  25.1 999.0 99.0 99.00
2004 01 01 06  86  8.3 10.2  2.75 10.00  6.42 999 1008.1  25.1  25.2 999.0 99.0 99.00
2004 01 01 07  74  8.6 10.7  2.95 10.00  6.75 999 1008.1  24.8  25.1 999.0 99.0 99.00
2004 01 01 08  88  7.2  8.6  2.74  8.33  6.44 999 1008.9  25.1  25.2 999.0 99.0 99.00
2004 01 01 09  89  7.5  9.3  2.90 10.00  6.65 999 1008.7  24.1  25.2 999.0 99.0 99.00
2004 01 01 10  93  9.4 11.4  2.83 10.00  6.54 999 1007.7  24.7  25.2 999.0 99.0 99.00
2004 01 01 11  90  9.2 11.3  2.62 10.00  6.41 999 1007.2  24.7  25.2 999.0 99.0 99.00
2004 01 01 12  98  8.9 10.5  2.76 10.00  6.37 999 1006.7  24.8  25.1 999.0 99.0 99.00
2004 01 01 13  99  8.8 10.2  2.73 10.00  6.48 999 1006.7  23.9  25.1 999.0 99.0 99.00
2004 01 01 14 102  5.6  7.2  2.62  9.09  6.56 999 1006.8  24.6  25.1 999.0 99.0 99.00
2004 01 01 15 113  6.6  8.1  2.84 11.11  6.69 999 1006.6  24.9  25.1 999.0 99.0 99.00
2004 01 01 16 116  7.5  8.9  2.92 10.00  7.07 999 1007.0  25.0  25.1 999.0 99.0 99.00
2004 01 01 17 125  7.5  9.3  2.59  9.09  6.54 999 1007.6  25.1  25.1 999.0 99.0 99.00
2004 01 01 18 122  7.4  8.8  2.69 10.00  6.71 999 1008.3  25.1  25.1 999.0 99.0 99.00
2004 01 01 19 117  8.2  9.7  2.44 11.11  6.41 999 1008.8  25.1  25.1 999.0 99.0 99.00
2004 01 01 20 127  7.0  8.8  2.54 10.00  6.70 999 1009.2  25.4  25.1 999.0 99.0 99.00
2004 01 01 21 134  6.4  7.5  2.52 10.00  6.62 999 1009.0  25.4  25.1 999.0 99.0 99.00
2004 01 01 22 133  8.7 10.3  2.69 10.00  6.44 999 1008.1  25.5  25.1 999.0 99.0 99.00
2004 01 01 23 131  7.1  8.8  2.54 10.00  6.12 999 1007.2  25.4  25.2 999.0 99.0 99.00
2004 01 02 00 127  8.5 10.1  2.47 12.50  6.14 999 1005.9  25.6  25.2 999.0 99.0 99.00
2004 01 02 01 123  7.5  9.4  2.56 10.00  6.35 999 1005.3  25.3  25.2 999.0 99.0 99.00
2004 01 02 02 136  6.2  8.1  2.48 10.00  6.50 999 1005.6  25.4  25.2 999.0 99.0 99.00
2004 01 02 03 132  6.4  7.5  2.46 10.00  6.52 999 1006.0  25.5  25.2 999.0 99.0 99.00
2004 01 02 04 142  5.8  6.8  2.39 10.00  6.43 999 1006.7  25.3  25.2 999.0 99.0 99.00
2004 01 02 05 129  5.7  6.8  2.60 11.11  6.92 999 1007.0  25.3  25.1 999.0 99.0 99.00
